epoch,phase,loss,dice_mean,dice_wt,dice_tc,dice_et,hd95_mean,hd95_wt,hd95_tc,hd95_et,iou_mean,iou_wt,iou_tc,iou_et,lr
35,val,0.087123,0.89852,0.926255,0.912146,0.88542,4.156153,5.651787,4.421731,3.793783,0.83473,0.872149,0.857626,0.812775,0.0001
36,train,0.077779,0.901448,0.934256,0.924082,0.883815,0.0,0.0,0.0,0.0,0.840471,0.882184,0.874083,0.812982,0.0001
36,val,0.090695,0.892403,0.925803,0.905112,0.880347,3.778299,5.256723,4.032744,3.326705,0.826981,0.871484,0.848958,0.80612,0.0001
37,train,0.079531,0.899145,0.933291,0.921978,0.88215,0.0,0.0,0.0,0.0,0.837093,0.87982,0.870967,0.810278,0.0001
37,val,0.093144,0.889613,0.926235,0.900023,0.879869,3.927878,5.881636,4.272528,3.397954,0.82247,0.872202,0.842202,0.803829,0.0001
38,train,0.080443,0.895182,0.930526,0.913741,0.882346,0.0,0.0,0.0,0.0,0.831803,0.875269,0.860699,0.809883,0.0001
38,val,0.088511,0.89379,0.920639,0.9065,0.881811,4.624095,7.243981,4.443791,4.298704,0.82892,0.864444,0.850718,0.808361,0.0001
39,train,0.078855,0.900857,0.934611,0.922309,0.884683,0.0,0.0,0.0,0.0,0.839768,0.882091,0.872005,0.814027,0.0001
39,val,0.087935,0.898962,0.920094,0.911923,0.887082,4.156518,7.298876,4.402318,3.832532,0.834805,0.863658,0.856707,0.814602,0.0001
40,train,0.078114,0.903807,0.934061,0.925914,0.886181,0.0,0.0,0.0,0.0,0.843037,0.881049,0.876494,0.815261,0.0001
40,val,0.091419,0.889934,0.920529,0.905229,0.874983,4.360433,7.817024,4.642843,3.990646,0.822503,0.864706,0.847851,0.797825,0.0001
41,train,0.076427,0.905783,0.934326,0.927921,0.888306,0.0,0.0,0.0,0.0,0.845793,0.881446,0.879219,0.818142,0.0001
41,val,0.090632,0.896888,0.923333,0.912219,0.882558,4.391845,6.966685,4.678359,4.02954,0.831487,0.868016,0.856802,0.80775,0.0001
42,train,0.070844,0.910442,0.939153,0.932826,0.892916,0.0,0.0,0.0,0.0,0.852236,0.889616,0.885828,0.824758,5e-05
42,val,0.085399,0.900934,0.928565,0.913402,0.889149,3.814488,5.860847,3.94463,3.588629,0.838685,0.875829,0.860281,0.818238,5e-05
43,train,0.071289,0.910772,0.939978,0.933094,0.892451,0.000000,0.000000,0.000000,0.000000,0.852903,0.890942,0.886256,0.824690,0.00005000
43,val,0.084748,0.901693,0.926080,0.913526,0.890494,3.834178,6.423872,4.048117,3.521778,0.840261,0.872478,0.861336,0.820279,0.00005000
44,train,0.068885,0.913338,0.940424,0.936795,0.893432,0.000000,0.000000,0.000000,0.000000,0.856292,0.891622,0.890935,0.826324,0.00005000
44,val,0.086492,0.899143,0.928877,0.909854,0.889330,3.741205,6.291373,4.153163,3.226478,0.836392,0.875960,0.855876,0.818345,0.00005000
45,train,0.068975,0.912338,0.941073,0.935401,0.893513,0.000000,0.000000,0.000000,0.000000,0.855302,0.892716,0.889550,0.826415,0.00005000
45,val,0.082975,0.902010,0.928602,0.916357,0.889237,3.740969,6.026920,3.901251,3.488657,0.839344,0.875582,0.862372,0.818546,0.00005000
46,train,0.069239,0.913393,0.940688,0.935274,0.895411,0.000000,0.000000,0.000000,0.000000,0.856287,0.892081,0.889468,0.828279,0.00005000
46,val,0.085087,0.897512,0.929476,0.908402,0.887131,4.010687,5.438828,4.388294,3.442515,0.833993,0.877192,0.853172,0.815708,0.00005000
47,train,0.070198,0.913137,0.940923,0.935604,0.894686,0.000000,0.000000,0.000000,0.000000,0.855878,0.892494,0.889572,0.827449,0.00005000
47,val,0.087198,0.900464,0.915999,0.913729,0.887972,4.812948,8.265877,5.048386,4.489695,0.838118,0.858474,0.860594,0.816893,0.00005000
48,train,0.067260,0.914465,0.940980,0.937684,0.894189,0.000000,0.000000,0.000000,0.000000,0.858091,0.892589,0.892548,0.827739,0.00005000
48,val,0.084734,0.899734,0.927266,0.910554,0.889713,3.901254,6.956141,4.240792,3.467499,0.837957,0.873774,0.857590,0.819639,0.00005000
49,train,0.068502,0.914580,0.941115,0.937679,0.894747,0.000000,0.000000,0.000000,0.000000,0.858437,0.892850,0.892524,0.828919,0.00005000
49,val,0.082004,0.904528,0.929682,0.918507,0.891194,3.471725,5.058010,3.648271,3.194745,0.843016,0.877548,0.866427,0.820682,0.00005000
50,train,0.067392,0.913906,0.942624,0.936565,0.894450,0.000000,0.000000,0.000000,0.000000,0.857370,0.895220,0.891055,0.828123,0.00005000
50,val,0.085336,0.899614,0.928930,0.914107,0.885858,3.780084,5.406338,4.022736,3.346168,0.836913,0.876869,0.860570,0.814472,0.00005000
